Zero No.295:	(535.6, 535.7)
Zero No.296:	(537.0, 537.1)
Zero No.297:	(538.4, 538.5)
Zero No.298:	(540.2, 540.3)
Zero No.299:	(540.6, 540.7)
Zero No.300:	(541.8, 541.9)
Zero No.301:	(544.3, 544.4)
Zero No.302:	(545.6, 545.7)
Zero No.303:	(547.0, 547.1)
Zero No.304:	(547.9, 548.0)
Zero No.305:	(549.4, 549.5)
Zero No.306:	(550.9, 551.0)
Zero No.307:	(552.0, 552.1)
Zero No.308:	(553.7, 553.8)
Zero No.309:	(555.7, 555.8)
Zero No.310:	(556.8, 556.9)
Zero No.311:	(557.5, 557.6)
Zero No.312:	(559.3, 559.4)
Zero No.313:	(560.2, 560.3)
Zero No.314:	(562.5, 562.6)
Zero No.315:	(564.1, 564.2)
Zero No.316:	(564.5, 564.6)
Zero No.317:	(566.6, 566.7)
Zero No.318:	(567.7, 567.8)
Zero No.319:	(568.9, 569.0)
Zero No.320:	(570.0, 570.1)
Zero No.321:	(572.4, 572.5)
Zero No.322:	(573.6, 573.7)
Zero No.323:	(575.0, 575.1)
Zero No.324:	(575.8, 575.9)
Zero No.325:	(577.0, 577.1)
Zero No.326:	(579.0, 579.1)
Zero No.327:	(580.1, 580.2)
Zero No.328:	(581.9, 582.0)
Zero No.329:	(583.2, 583.3)
Zero No.330:	(584.5, 584.6)
Zero No.331:	(585.9, 586.0)
Zero No.332:	(586.7, 586.8)
Zero No.333:	(588.1, 588.2)
Zero No.334:	(590.6, 590.7)
Zero No.335:	(591.7, 591.8)
Zero No.336:	(592.5, 592.6)
Zero No.337:	(593.9, 594.0)
Zero No.338:	(595.7, 595.8)
Zero No.339:	(596.3, 596.4)
Zero No.340:	(598.4, 598.5)
Zero No.341:	(599.5, 599.6)
Zero No.342:	(601.6, 601.7)
Zero No.343:	(602.5, 602.6)
Zero No.344:	(603.6, 603.7)
Zero No.345:	(604.6, 604.7)
Zero No.346:	(606.3, 606.4)
Zero No.347:	(608.4, 608.5)
Zero No.348:	(609.3, 609.4)
Zero No.349:	(610.8, 610.9)
Zero No.350:	(611.7, 611.8)
Zero No.351:	(613.5, 613.6)
Zero No.352:	(614.6, 614.7)
Zero No.353:	(615.5, 615.6)
Zero No.354:	(618.1, 618.2)
Zero No.355:	(619.1, 619.2)
Zero No.356:	(620.2, 620.3)
Zero No.357:	(621.7, 621.8)
Zero No.358:	(622.3, 622.4)
Zero No.359:	(624.2, 624.3)
Zero No.360:	(626.0, 626.1)
Zero No.361:	(627.2, 627.3)
Zero No.362:	(628.3, 628.4)
Zero No.363:	(630.4, 630.5)
Zero No.364:	(630.8, 630.9)
Zero No.365:	(632.2, 632.3)
Zero No.366:	(633.5, 633.6)
Zero No.367:	(635.5, 635.6)
Zero No.368:	(637.3, 637.4)
Zero No.369:	(637.9, 638.0)
Zero No.370:	(638.9, 639.0)
Zero No.371:	(640.6, 640.7)
Zero No.372:	(641.9, 642.0)
Zero No.373:	(643.2, 643.3)
Zero No.374:	(644.9, 645.0)
Zero No.375:	(646.3, 646.4)
Zero No.376:	(647.7, 647.8)
Zero No.377:	(648.7, 648.8)
Zero No.378:	(650.1, 650.2)
Zero No.379:	(650.6, 650.7)
Zero No.380:	(653.6, 653.7)
Zero No.381:	(654.3, 654.4)
Zero No.382:	(655.7, 655.8)
Zero No.383:	(656.9, 657.0)
Zero No.384:	(658.1, 658.2)
Zero No.385:	(659.6, 659.7)
Zero No.386:	(660.7, 660.8)
Zero No.387:	(662.2, 662.3)
Zero No.388:	(664.2, 664.3)
Zero No.389:	(665.3, 665.4)
Zero No.390:	(666.5, 666.6)
Zero No.391:	(667.1, 667.2)
Zero No.392:	(668.9, 669.0)
Zero No.393:	(670.3, 670.4)
Zero No.394:	(672.4, 672.5)
Zero No.395:	(673.0, 673.1)
Zero No.396:	(674.3, 674.4)
Zero No.397:	(676.1, 676.2)
Zero No.398:	(677.2, 677.3)
Zero No.399:	(677.8, 677.9)
Zero No.400:	(679.7, 679.8)
Zero No.401:	(681.8, 681.9)
Zero No.402:	(682.6, 682.7)
Zero No.403:	(684.0, 684.1)
Zero No.404:	(684.9, 685.0)
Zero No.405:	(686.1, 686.2)
Zero No.406:	(687.9, 688.0)
Zero No.407:	(689.3, 689.4)
Zero No.408:	(690.4, 690.5)
Zero No.409:	(692.4, 692.5)
Zero No.410:	(693.1, 693.2)
Zero No.411:	(694.5, 694.6)
Zero No.412:	(695.7, 695.8)
Zero No.413:	(696.6, 696.7)
Zero No.414:	(699.1, 699.2)
Zero No.415:	(700.2, 700.3)
Zero No.416:	(701.3, 701.4)
Zero No.417:	(702.2, 702.3)
Zero No.418:	(704.0, 704.1)
Zero No.419:	(705.1, 705.2)
Zero No.420:	(706.1, 706.2)
Zero No.421:	(708.2, 708.3)
Zero No.422:	(709.2, 709.3)
Zero No.423:	(711.1, 711.2)
Zero No.424:	(711.9, 712.0)
Zero No.425:	(712.7, 712.8)
Zero No.426:	(714.0, 714.1)
Zero No.427:	(716.1, 716.2)
Zero No.428:	(717.4, 717.5)
Zero No.429:	(718.7, 718.8)
Zero No.430:	(719.6, 719.7)
Zero No.431:	(721.3, 721.4)
Zero No.432:	(722.2, 722.3)
Zero No.433:	(723.8, 723.9)
Zero No.434:	(724.5, 724.6)
Zero No.435:	(727.0, 727.1)
Zero No.436:	(728.4, 728.5)
Zero No.437:	(728.7, 728.8)
Zero No.438:	(730.4, 730.5)
Zero No.439:	(731.4, 731.5)
Zero No.440:	(732.8, 732.9)
Zero No.441:	(734.7, 734.8)
Zero No.442:	(735.7, 735.8)
Zero No.443:	(737.0, 737.1)
Zero No.444:	(738.5, 738.6)
Zero No.445:	(739.9, 740.0)
Zero No.446:	(740.5, 740.6)
Zero No.447:	(741.7, 741.8)
Zero No.448:	(743.8, 743.9)
Zero No.449:	(745.3, 745.4)
Zero No.450:	(746.4, 746.5)
Zero No.451:	(747.6, 747.7)
Zero No.452:	(748.2, 748.3)
Zero No.453:	(750.6, 750.7)
Zero No.454:	(750.9, 751.0)
Zero No.455:	(752.8, 752.9)
Zero No.456:	(754.3, 754.4)
Zero No.457:	(755.8, 755.9)
Zero No.458:	(756.7, 756.8)
Zero No.459:	(758.1, 758.2)
Zero No.460:	(758.9, 759.0)
Zero No.461:	(760.2, 760.3)
Zero No.462:	(762.7, 762.8)
Zero No.463:	(763.5, 763.6)
Zero No.464:	(764.3, 764.4)
Zero No.465:	(766.0, 766.1)
Zero No.466:	(767.2, 767.3)
Zero No.467:	(768.2, 768.3)
Zero No.468:	(769.6, 769.7)
Zero No.469:	(771.0, 771.1)
Zero No.470:	(772.9, 773.0)
Zero No.471:	(774.1, 774.2)
Zero No.472:	(775.0, 775.1)
Zero No.473:	(775.9, 776.0)
Zero No.474:	(777.2, 777.3)
Zero No.475:	(779.1, 779.2)
Zero No.476:	(780.3, 780.4)
Zero No.477:	(782.1, 782.2)
Zero No.478:	(782.5, 782.6)
Zero No.479:	(784.2, 784.3)
Zero No.480:	(785.7, 785.8)
Zero No.481:	(786.4, 786.5)
Zero No.482:	(787.4, 787.5)
Zero No.483:	(790.0, 790.1)
Zero No.484:	(790.8, 790.9)
Zero No.485:	(792.4, 792.5)
Zero No.486:	(792.8, 792.9)
Zero No.487:	(794.4, 794.5)
Zero No.488:	(795.6, 795.7)
Zero No.489:	(797.2, 797.3)
